iterations,random,proportional,tournament
139,1315860.935,1318683.209,1217421.696
140,1315860.935,1316183.101,1216150.814
141,1315860.935,1316183.101,1216150.814
142,1315860.935,1316183.101,1214745.982
143,1314772.045,1314987.969,1214561.069
144,1314552.072,1314987.969,1212122.524
145,1314552.072,1312596.722,1211565.503
146,1313244.756,1308250.229,1207894.532
147,1310852.233,1308250.229,1207894.532
148,1308501.097,1307564.169,1206261.368
149,1308501.097,1304515.797,1206261.368
150,1307491.074,1304515.797,1206261.368
151,1307491.074,1304515.797,1205899.448
152,1301702.282,1304021.986,1204573.256
153,1302788.207,1302799.714,1203727.143
154,1299769.219,1302799.714,1202197.932
155,1294648.362,1302799.714,1201091.259
156,1294648.362,1301170.668,1201091.259
157,1294648.362,1301170.668,1199425.494
158,1294648.362,1298845.575,1195495.79
159,1294648.362,1298845.575,1195122.235
160,1294648.362,1297588.532,1195122.235
161,1294648.362,1293077.932,1193697.46
162,1292818.466,1292455.975,1192448.88
163,1292750.559,1292455.975,1190150.636
164,1292750.559,1292455.975,1188535.786
165,1286121.891,1292455.975,1186111.735
166,1283624.231,1293077.932,1186111.735
167,1283624.231,1288798.156,1186017.774
168,1283624.231,1288025.263,1178804.639
169,1283624.231,1288025.263,1178362.407
170,1283457.773,1288025.263,1176707.482
171,1283457.773,1288025.263,1176707.482
172,1283457.773,1288025.263,1176507.678
173,1283457.773,1281395.918,1174073.855
174,1280661.998,1281395.918,1171184.194
175,1280661.998,1281395.918,1169822.249
176,1273151.614,1281395.918,1167482.042
177,1273151.614,1274589.219,1167482.042
178,1272526.86,1274589.219,1167482.042
179,1272526.86,1269811.464,1167441.539
180,1272526.86,1269811.464,1166750.258
181,1272526.86,1265028.296,1166750.258
182,1271545.392,1265028.296,1166750.258
183,1269856.485,1260281.342,1165361.004
184,1266554.646,1260281.342,1161508.731
185,1266034.79,1260281.342,1160674.726
186,1266034.79,1260281.342,1160674.726
187,1266034.79,1255705.169,1160674.726
188,1264649.312,1250195.64,1152468.729
189,1264649.312,1250195.64,1152468.729
190,1263356.587,1250195.64,1152468.729
191,1262330.597,1254067.176,1152468.729
192,1262330.597,1254067.176,1152468.729
193,1262079.044,1254067.176,1151577.601
194,1261402.664,1252335.542,1151577.601
195,1261692.094,1252335.542,1149951.124
196,1259674.628,1249711.16,1149951.124
197,1259674.628,1240387.234,1149951.124
198,1259674.628,1240084.12,1149951.124
199,1256558.754,1240084.12,1149951.124
200,1256558.754,1240084.12,1149172.46
201,1256558.754,1240084.12,1148958.599
202,1256558.754,1240084.12,1148958.599
203,1248135.898,1240848.265,1147903.516
204,1248135.898,1236632.013,1147903.516
205,1248135.898,1236632.013,1146276.511
206,1248135.898,1237303.366,1146276.511
207,1248135.898,1237303.366,1146276.511
208,1248135.898,1237303.366,1143418.923
209,1248135.898,1237303.366,1143418.923
210,1248135.898,1236721.295,1143418.923
211,1248135.898,1234958.896,1142484.601
212,1245452.071,1230702.828,1142484.601
213,1241543.443,1230702.828,1142484.601
214,1241543.443,1230702.828,1139427.493
215,1240533.308,1230702.828,1139097.52
216,1239741.588,1226752.181,1139097.52
217,1239741.588,1226752.181,1139097.52
218,1238664.174,1226752.181,1137666.946
219,1238664.174,1226752.181,1131669.142
220,1236243.715,1222214.167,1131669.142
221,1235064.003,1222214.167,1131669.142
222,1235064.003,1221596.99,1131669.142
223,1234677.835,1213674.437,1131669.142
224,1234677.835,1213674.437,1131669.142
225,1232092.972,1213674.437,1128219.904
226,1232092.972,1213674.437,1128219.904
227,1232092.972,1213674.437,1128219.904
228,1232092.972,1213674.437,1126146.418
229,1228705.16,1213476.915,1125067.752
230,1228705.16,1213476.915,1125067.752
231,1228512.754,1213476.915,1124797.179
232,1228512.754,1208067.246,1123637.506
233,1229158.796,1208067.246,1122822.792
234,1225367.856,1208067.246,1122822.792
235,1225206.954,1208067.246,1121632.795
236,1224234.112,1207277.869,1121632.795
237,1224234.112,1207277.869,1120733.957
238,1223466.969,1207277.869,1119058.143
239,1223466.969,1205796.674,1119058.143
240,1223466.969,1205796.674,1118371.395
241,1222847.748,1204229.502,1118006.519
